电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
少年派的奇幻漂流,Life of Pi,https://movie.douban.com/subject/1929463/,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012 ,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1471887人评价
钢琴家,The Pianist,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,2002 ,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,737131人评价
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2002 ,美国 新西兰,剧情 动作 奇幻 冒险,9.2,843446人评价
死亡诗社,Dead Poets Society,https://movie.douban.com/subject/1291548/,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989 ,美国,剧情,9.2,861089人评价
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 ,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1345993人评价
何以为家,كفرناحوم,https://movie.douban.com/subject/30170448/,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,2018 ,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1149494人评价
闻香识女人,Scent of a Woman,https://movie.douban.com/subject/1298624/,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,1992 ,美国,剧情,9.1,1006679人评价
绿皮书,Green Book,https://movie.douban.com/subject/27060077/,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,2018 ,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1862073人评价
大闹天宫,大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆) ,1978(中国大陆),1978(中国大陆),9.4,500776人评价
黑客帝国,The Matrix,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski主...,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1999 ,美国,动作 科幻,9.1,934928人评价
